Info: [VCS_SAVE_RESTORE_INFO] ASLR (Address Space Layout Randomization) is detected on the machine. To enable $save functionality, ASLR will be switched off and simv re-executed.
Please use '-no_save' simv switch to avoid re-execution or '-suppress=ASLR_DETECTED_INFO' to suppress this message.
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Dec  1 23:39 2025
Time: 1135 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001101111
Time: 1145 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001110000
Time: 1155 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001110001
Time: 1165 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001110010
Time: 1175 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001110011
Time: 1185 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001110100
Time: 1195 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001110101
Time: 1205 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001110110
Time: 1215 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001110111
Time: 1225 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001111000
Time: 1235 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001111001
Time: 1245 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001111010
Time: 1255 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001111011
Time: 1265 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001111100
Time: 1275 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001111101
Time: 1285 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001111110
Time: 1295 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001111111
Time: 1305 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010000000
Time: 1315 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010000001
Time: 1325 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010000010
Time: 1335 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010000011
Time: 1345 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010000100
Time: 1355 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010000101
Time: 1365 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010000110
Time: 1375 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010000111
Time: 1385 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010001000
Time: 1395 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010001001
Time: 1405 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010001010
Time: 1415 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010001011
Time: 1425 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010001100
Time: 1435 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010001101
Time: 1445 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010001110
Time: 1455 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010001111
Time: 1465 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010010000
Time: 1475 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010010001
Time: 1485 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010010010
Time: 1495 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010010011
Time: 1505 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010010100
Time: 1515 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010010101
Time: 1525 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010010110
Time: 1535 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010010111
Time: 1545 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010011000
Time: 1555 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010011001
Time: 1565 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010011010
Time: 1575 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010011011
Time: 1585 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010011100
Time: 1595 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010011101
Time: 1605 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010011110
Time: 1615 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010011111
Time: 1625 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010100000
Time: 1635 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010100001
Time: 1645 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010100010
Time: 1655 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010100011
Time: 1665 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010100100
Time: 1675 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010100101
Time: 1685 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010100110
Time: 1695 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010100111
Time: 1705 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010101000
Time: 1715 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010101001
Time: 1725 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010101010
Time: 1735 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010101011
Time: 1745 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010101100
Time: 1755 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010101101
Time: 1765 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010101110
Time: 1775 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010101111
Time: 1785 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010110000
Time: 1795 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010110001
Time: 1805 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010110010
Time: 1815 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010110011
Time: 1825 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010110100
Time: 1835 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010110101
Time: 1845 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010110110
Time: 1855 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010110111
Time: 1865 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010111000
Time: 1875 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010111001
Time: 1885 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010111010
Time: 1895 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010111011
Time: 1905 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010111100
Time: 1915 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010111101
Time: 1925 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010111110
Time: 1935 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00010111111
Time: 1945 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011000000
Time: 1955 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011000001
Time: 1965 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011000010
Time: 1975 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011000011
Time: 1985 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011000100
Time: 1995 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011000101
Time: 2005 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011000110
Time: 2015 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011000111
Time: 2025 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011001000
Time: 2035 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011001001
Time: 2045 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011001010
Time: 2055 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011001011
Time: 2065 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011001100
Time: 2075 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011001101
Time: 2085 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011001110
Time: 2095 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011001111
Time: 2105 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011010000
Time: 2115 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011010001
Time: 2125 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011010010
Time: 2135 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011010011
Time: 2145 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011010100
Time: 2155 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011010101
Time: 2165 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011010110
Time: 2175 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011010111
Time: 2185 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011011000
Time: 2195 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011011001
Time: 2205 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011011010
Time: 2215 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011011011
Time: 2225 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011011100
Time: 2235 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011011101
Time: 2245 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011011110
Time: 2255 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011011111
Time: 2265 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011100000
Time: 2275 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011100001
Time: 2285 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011100010
Time: 2295 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011100011
Time: 2305 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011100100
Time: 2315 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011100101
Time: 2325 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011100110
Time: 2335 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011100111
Time: 2345 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011101000
Time: 2355 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011101001
Time: 2365 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011101010
Time: 2375 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011101011
Time: 2385 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011101100
Time: 2395 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011101101
Time: 2405 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011101110
Time: 2415 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011101111
Time: 2425 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011110000
Time: 2435 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011110001
Time: 2445 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011110010
Time: 2455 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011110011
Time: 2465 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011110100
Time: 2475 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011110101
Time: 2485 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011110110
Time: 2495 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011110111
Time: 2505 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011111000
Time: 2515 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011111001
Time: 2525 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011111010
Time: 2535 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011111011
Time: 2545 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011111100
Time: 2555 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011111101
Time: 2565 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011111110
Time: 2575 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00011111111
Time: 2585 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000000
Time: 2595 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000001
Time: 2605 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000010
Time: 2615 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000011
Time: 2625 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000100
Time: 2635 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000101
Time: 2645 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000110
Time: 2655 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000111
Time: 2665 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000001000
Time: 2675 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000001001
Time: 2685 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000001010
Time: 2695 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000001011
Time: 2705 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000001100
Time: 2715 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000001101
Time: 2725 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000001110
Time: 2735 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000001111
Time: 2745 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000010000
Time: 2755 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000010001
Time: 2765 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000010010
Time: 2775 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000010011
Time: 2785 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000010100
Time: 2795 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000010101
Time: 2805 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000010110
Time: 2815 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000010111
Time: 2825 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000011000
Time: 2835 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000011001
Time: 2845 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000011010
Time: 2855 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000011011
Time: 2865 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000011100
Time: 2875 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000011101
Time: 2885 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000011110
Time: 2895 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000011111
Time: 2905 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000100000
Time: 2915 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000100001
Time: 2925 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000100010
Time: 2935 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000100011
Time: 2945 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000100100
Time: 2955 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000100101
Time: 2965 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000100110
Time: 2975 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000100111
Time: 2985 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000101000
Time: 2995 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000101001
Time: 3005 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000101010
